pitcher_name,team,opponent,home_away,game_date,throws
Dean Kremer,Baltimore Orioles,Seattle Mariners,home,2025-08-12,R
George Kirby,Seattle Mariners,Baltimore Orioles,away,2025-08-12,R
Brady Singer,Cincinnati Reds,Philadelphia Phillies,home,2025-08-12,R
Ranger Suárez,Philadelphia Phillies,Cincinnati Reds,away,2025-08-12,L
Logan Allen,Cleveland Guardians,Miami Marlins,home,2025-08-12,L
Janson Junk,Miami Marlins,Cleveland Guardians,away,2025-08-12,R
Carlos Rodón,New York Yankees,Minnesota Twins,home,2025-08-12,L
Travis Adams,Minnesota Twins,New York Yankees,away,2025-08-12,R
José Berríos,Toronto Blue Jays,Chicago Cubs,home,2025-08-12,R
Javier Assad,Chicago Cubs,Toronto Blue Jays,away,2025-08-12,R
Clay Holmes,New York Mets,Atlanta Braves,home,2025-08-12,R
Spencer Strider,Atlanta Braves,New York Mets,away,2025-08-12,R
Michael Wacha,Kansas City Royals,Washington Nationals,home,2025-08-12,R
Mitchell Parker,Washington Nationals,Kansas City Royals,away,2025-08-12,L
Yoendrys Gómez,Chicago White Sox,Detroit Tigers,home,2025-08-12,R
Jack Flaherty,Detroit Tigers,Chicago White Sox,away,2025-08-12,R
Freddy Peralta,Milwaukee Brewers,Pittsburgh Pirates,home,2025-08-12,R
Paul Skenes,Pittsburgh Pirates,Milwaukee Brewers,away,2025-08-12,R
Matthew Liberatore,St. Louis Cardinals,Colorado Rockies,home,2025-08-12,L
Kyle Freeland,Colorado Rockies,St. Louis Cardinals,away,2025-08-12,L
Jack Leiter,Texas Rangers,Arizona Diamondbacks,home,2025-08-12,R
Anthony DeSclafani,Arizona Diamondbacks,Texas Rangers,away,2025-08-12,R
Spencer Arrighetti,Houston Astros,Boston Red Sox,home,2025-08-12,R
Dustin May,Boston Red Sox,Houston Astros,away,2025-08-12,R
Victor Mederos,Los Angeles Angels,Los Angeles Dodgers,home,2025-08-12,R
Emmet Sheehan,Los Angeles Dodgers,Los Angeles Angels,away,2025-08-12,R
Robbie Ray,San Francisco Giants,San Diego Padres,home,2025-08-12,L
Nestor Cortes,San Diego Padres,San Francisco Giants,away,2025-08-12,L
Jacob Lopez,Athletics,Tampa Bay Rays,home,2025-08-12,L
Shane Baz,Tampa Bay Rays,Athletics,away,2025-08-12,R
